"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",2.235,3.067,2.401,2.45,0.055,0.068,0.055,0.059
"2",2.991,5.883,2.994,3.457,0.066,0.053,0.064,0.071
"3",2.536,5.621,2.789,3.205,0.06,0.063,0.061,0.069
"4",2.288,2.951,2.426,2.325,0.055,0.068,0.052,0.055
"5",2.124,5.515,2.194,2.619,0.056,0.063,0.055,0.067
"6",3.083,6.737,3.081,3.55,0.059,0.035,0.059,0.065
