"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",15.568,22.242,17.275,19.663,0.97,1.149,1.01,1.094
"2",10.26,10.989,9.546,10.579,0.765,0.808,0.732,0.787
"3",32.351,30.349,34.154,31.952,1.321,1.271,1.324,1.351
"4",13.375,20.332,15.295,17.712,0.885,1.117,0.954,1.063
"5",20.841,31.058,24.12,29.235,1.11,1.316,1.195,1.332
"6",10.351,12.171,9.586,10.744,0.781,0.857,0.722,0.793
"7",11.91,14.516,11.96,13.681,0.818,0.938,0.839,0.923
