"","V1","V2","V3","V4"
"1",3.563,3.661,0.059,0.059
"2",2.654,2.766,0.052,0.052
"3",2.166,2.208,0.047,0.047
"4",2.224,2.402,0.047,0.05
"5",2.296,2.438,0.05,0.051
"6",2.126,2.214,0.049,0.05
"7",2.135,2.262,0.047,0.05
